@relation Hotelpersonal

@attribute id numeric
@attribute pos_examples numeric
@attribute neg_examples numeric
@attribute score numeric

@data
2001,0,0,10.0
2009,0,0,10.0
2017,0,0,10.0
2025,0,0,10.0
2033,0,0,10.0
2041,0,0,10.0
2049,0,0,10.0
2057,0,0,10.0
2065,2,0,10.0
2073,0,1,10.0
2081,1,0,10.0
2089,0,0,10.0
2097,0,1,10.0
2105,0,0,10.0
2113,0,0,10.0
2121,0,0,10.0
2129,0,0,10.0
2137,0,0,10.0
2145,0,0,10.0
2153,0,1,10.0
2161,0,0,10.0
2169,0,0,10.0
2177,0,0,10.0
2185,2,0,10.0
2193,0,0,10.0
2201,0,0,10.0
2209,0,0,10.0
2217,0,0,10.0
2225,0,0,10.0
2233,0,0,10.0
2241,0,0,10.0
2249,0,0,10.0
2257,0,0,10.0
2265,1,0,10.0
2273,0,1,10.0
2281,0,0,10.0
2289,1,0,10.0
2297,0,0,10.0
2305,1,0,10.0
2313,0,0,10.0
2321,1,0,10.0
2329,1,0,10.0
2337,0,0,10.0
2345,0,0,10.0
2353,3,1,10.0
2361,0,1,10.0
2369,0,0,10.0
2377,0,0,10.0
2385,1,0,10.0
2393,0,1,10.0
2401,0,0,10.0
2409,0,0,10.0
2417,0,0,10.0
2425,0,0,10.0
2433,1,0,10.0
2441,0,1,10.0
2449,2,0,10.0
2457,1,0,10.0
2465,0,0,10.0
2473,2,0,10.0
2481,0,0,10.0
2489,0,0,10.0
2497,0,0,10.0
2505,1,0,10.0
2513,0,0,10.0
2521,0,0,10.0
2529,0,0,10.0
2537,0,0,10.0
2545,0,0,10.0
2553,0,0,10.0
2561,0,0,10.0
2569,1,0,10.0
2577,1,0,10.0
2585,0,0,10.0
2593,0,0,10.0
2601,0,0,10.0
2609,0,0,10.0
2617,0,1,10.0
2625,0,0,10.0
2633,1,0,10.0
2641,0,3,10.0
2649,2,0,10.0
2657,0,0,10.0
2665,2,0,10.0
2673,0,0,10.0
2681,2,0,10.0
2689,0,0,10.0
2697,0,0,10.0
2705,1,3,10.0
2713,0,0,10.0
2721,0,0,10.0
2729,0,0,10.0
2737,0,0,10.0
2745,0,0,10.0
2753,1,1,10.0
2761,0,0,10.0
2769,0,0,10.0
2777,0,0,10.0
2785,0,0,10.0
2793,1,1,10.0
2801,0,0,10.0
2809,1,0,10.0
2817,1,0,10.0
2825,1,0,10.0
2833,2,0,10.0
2841,0,0,10.0
2849,3,0,10.0
2857,1,3,10.0
2865,0,0,10.0
2873,1,0,10.0
2881,0,0,10.0
2889,2,0,10.0
2897,0,0,10.0
2905,1,0,10.0
2913,2,0,10.0
2921,1,0,10.0
2929,2,0,10.0
2937,0,0,10.0
2945,0,0,10.0
2953,2,0,10.0
2961,0,0,10.0
2969,0,0,10.0
2977,0,1,10.0
2985,1,0,10.0
2993,0,0,10.0
3001,0,0,10.0
3009,2,0,10.0
3017,0,1,10.0
3025,0,0,10.0
3033,0,0,10.0
3041,0,0,10.0
